LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MIN,T2M_MAX
-37.78349,145.25601,1981,7,22,7.6,5.09,10.08
-37.78349,145.25601,1981,7,23,0.03,4.11,11.61
-37.78349,145.25601,1981,7,24,12.75,5.72,10.23
-37.78349,145.25601,1981,7,25,1.16,3.56,8.43
-37.78349,145.25601,1981,7,26,1.76,4.48,9.19
-37.78349,145.25601,1981,7,27,2.43,4.38,8.48
-37.78349,145.25601,1981,7,28,14.68,4.17,8.66
-37.78349,145.25601,1981,7,29,3.95,2.98,8.34
-37.78349,145.25601,1981,7,30,1.05,4.14,10.48
-37.78349,145.25601,1981,7,31,0.09,3.92,11.57
-37.78349,145.25601,1981,8,1,0.07,3.44,10.43
-37.78349,145.25601,1981,8,2,2.37,5.05,9.35
-37.78349,145.25601,1981,8,3,11.69,6.28,10.11
-37.78349,145.25601,1981,8,4,4.31,5.35,11.75
-37.78349,145.25601,1981,8,5,3.67,4.48,13.06
-37.78349,145.25601,1981,8,6,1.22,4.02,11.14
-37.78349,145.25601,1981,8,7,1.33,4.48,11.63
-37.78349,145.25601,1981,8,8,10.98,3.95,8.8
-37.78349,145.25601,1981,8,9,5.44,4.93,8.85
-37.78349,145.25601,1981,8,10,0.89,4.52,10.96
-37.78349,145.25601,1981,8,11,0.51,3.64,11.75
-37.78349,145.25601,1981,8,12,5.34,4.34,9.55
-37.78349,145.25601,1981,8,13,4.55,5.04,9.04
-37.78349,145.25601,1981,8,14,11.89,6.1,8.78
-37.78349,145.25601,1981,8,15,1.94,4.77,11.63
-37.78349,145.25601,1981,8,16,0.28,6.57,11.98
-37.78349,145.25601,1981,8,17,3.95,6.94,10.66
-37.78349,145.25601,1981,8,18,6.79,4.77,8.85
-37.78349,145.25601,1981,8,19,3.51,8.56,12.05
-37.78349,145.25601,1981,8,20,12.88,7.48,12.98
-37.78349,145.25601,1981,8,21,6.96,4.03,9.43
-37.78349,145.25601,1981,8,22,9.77,3.85,10.05
-37.78349,145.25601,1981,8,23,0.18,2.26,11.59
-37.78349,145.25601,1981,8,24,0.46,2.29,12.27
-37.78349,145.25601,1981,8,25,0.03,2.24,13.4
-37.78349,145.25601,1981,8,26,6.78,3.53,14.13
-37.78349,145.25601,1981,8,27,6.77,4.75,8.49
-37.78349,145.25601,1981,8,28,7.59,4.46,7.58
-37.78349,145.25601,1981,8,29,8.35,6.57,12.01
-37.78349,145.25601,1981,8,30,3.18,5.23,12.76
-37.78349,145.25601,1981,8,31,0.85,4.77,11.17
-37.78349,145.25601,1981,9,1,0.61,5.31,13.46
-37.78349,145.25601,1981,9,2,1.82,6.43,12.98
-37.78349,145.25601,1981,9,3,0.53,5.82,12.94
-37.78349,145.25601,1981,9,4,1.87,6.07,12.1
-37.78349,145.25601,1981,9,5,0,6.44,15.16
-37.78349,145.25601,1981,9,6,0.03,4.17,14.37
-37.78349,145.25601,1981,9,7,0.05,7.15,17.32
-37.78349,145.25601,1981,9,8,0.01,9.85,17.35
-37.78349,145.25601,1981,9,9,0.07,8.29,17.09
-37.78349,145.25601,1981,9,10,0,6.86,19.24
-37.78349,145.25601,1981,9,11,0.22,7.47,15.6
-37.78349,145.25601,1981,9,12,0.05,6.68,13.29
-37.78349,145.25601,1981,9,13,0.19,6.92,13.72
-37.78349,145.25601,1981,9,14,0.04,4.96,15.95
-37.78349,145.25601,1981,9,15,1.14,7.8,16.36
-37.78349,145.25601,1981,9,16,0.15,9.09,19.27
-37.78349,145.25601,1981,9,17,0.13,9.86,22.42
-37.78349,145.25601,1981,9,18,0.04,9.53,19.19
-37.78349,145.25601,1981,9,19,0.01,6.24,14.97
-37.78349,145.25601,1981,9,20,0.02,5.06,17.31
-37.78349,145.25601,1981,9,21,0.27,6.9,17.51
-37.78349,145.25601,1981,9,22,0,3.66,14.4
