LAT,LON,YEAR,MO,DY,PRECTOT,T2M_MIN,T2M_MAX
47.00001,4.50001,1981,7,23,9.16,10.86,17.63
47.00001,4.50001,1981,7,24,2.35,9.92,16.94
47.00001,4.50001,1981,7,25,2.16,8.33,16.07
47.00001,4.50001,1981,7,26,0.23,7.26,17.97
47.00001,4.50001,1981,7,27,1.5,10.94,20.9
47.00001,4.50001,1981,7,28,0.03,10.9,21.92
47.00001,4.50001,1981,7,29,0,11.01,24.82
47.00001,4.50001,1981,7,30,0,14.49,27.1
47.00001,4.50001,1981,7,31,1.7,16.93,25.56
47.00001,4.50001,1981,8,1,4.2,17.47,23.43
47.00001,4.50001,1981,8,2,2.23,16.57,22.32
47.00001,4.50001,1981,8,3,0.27,14.4,24.69
47.00001,4.50001,1981,8,4,0,14.77,26.79
47.00001,4.50001,1981,8,5,0.16,16.26,28.31
47.00001,4.50001,1981,8,6,4.08,18.57,26.94
47.00001,4.50001,1981,8,7,2.3,17.27,22.56
47.00001,4.50001,1981,8,8,14.95,16.64,22.05
47.00001,4.50001,1981,8,9,3.44,13.46,20.82
47.00001,4.50001,1981,8,10,4.04,12.3,19.42
47.00001,4.50001,1981,8,11,3.09,12.12,16.76
47.00001,4.50001,1981,8,12,0.28,11.93,21.68
47.00001,4.50001,1981,8,13,0.05,12.56,23.59
47.00001,4.50001,1981,8,14,0,14.16,25.26
47.00001,4.50001,1981,8,15,0,14.77,27.22
47.00001,4.50001,1981,8,16,1.19,14.43,26.22
47.00001,4.50001,1981,8,17,0.01,10.14,19.63
47.00001,4.50001,1981,8,18,0,7.71,21.6
47.00001,4.50001,1981,8,19,0,10.74,22.9
47.00001,4.50001,1981,8,20,9.49,10.17,18.37
47.00001,4.50001,1981,8,21,1.02,8.82,17.14
47.00001,4.50001,1981,8,22,0.07,8.68,19.19
47.00001,4.50001,1981,8,23,0.61,11.2,19.01
47.00001,4.50001,1981,8,24,0.02,9.13,18.66
47.00001,4.50001,1981,8,25,0.02,8.1,20.35
47.00001,4.50001,1981,8,26,0.01,8.84,21.47
47.00001,4.50001,1981,8,27,0.03,10.71,22.03
47.00001,4.50001,1981,8,28,0.02,9.57,22.33
47.00001,4.50001,1981,8,29,0,10.65,22.93
47.00001,4.50001,1981,8,30,0.01,11.65,23.12
47.00001,4.50001,1981,8,31,7.42,12.16,23.3
47.00001,4.50001,1981,9,1,5.79,13.33,20.86
47.00001,4.50001,1981,9,2,0.93,12.38,18.69
47.00001,4.50001,1981,9,3,0.35,10.92,20.34
47.00001,4.50001,1981,9,4,0,8.36,19.46
47.00001,4.50001,1981,9,5,0,9.14,20.8
47.00001,4.50001,1981,9,6,0.01,9.59,23.24
47.00001,4.50001,1981,9,7,0.4,11.9,25.16
47.00001,4.50001,1981,9,8,3.53,14.91,20.76
47.00001,4.50001,1981,9,9,1.07,12.93,22.46
47.00001,4.50001,1981,9,10,3.36,12.63,20.4
47.00001,4.50001,1981,9,11,5.1,13.66,20.82
47.00001,4.50001,1981,9,12,4.14,12.79,19.21
47.00001,4.50001,1981,9,13,1.11,9.78,17.75
47.00001,4.50001,1981,9,14,0.2,8.27,17.83
47.00001,4.50001,1981,9,15,1.43,9.68,18.34
47.00001,4.50001,1981,9,16,3.04,11.75,19.45
47.00001,4.50001,1981,9,17,0.04,9.57,20.06
47.00001,4.50001,1981,9,18,6.34,10.44,17.83
47.00001,4.50001,1981,9,19,0.8,12.48,19.69
47.00001,4.50001,1981,9,20,1.21,13.88,25.12
47.00001,4.50001,1981,9,21,9.65,16.06,22.31
47.00001,4.50001,1981,9,22,26.78,11.71,17.05
47.00001,4.50001,1981,9,23,1.21,9.96,18.01
47.00001,4.50001,1981,9,24,0.04,7.46,17.16
47.00001,4.50001,1981,9,25,1.05,7.22,16.54
47.00001,4.50001,1981,9,26,26.86,10.11,17.84
47.00001,4.50001,1981,9,27,0.36,7.62,16.18
47.00001,4.50001,1981,9,28,3.71,7.68,13.29
47.00001,4.50001,1981,9,29,0.06,6.66,15.48
47.00001,4.50001,1981,9,30,0,4.28,16.49
47.00001,4.50001,1981,10,1,3.69,5.32,19.48
47.00001,4.50001,1981,10,2,7.44,9.03,15.23
47.00001,4.50001,1981,10,3,13.3,5.44,13.59
47.00001,4.50001,1981,10,4,1.52,5.31,13.96
47.00001,4.50001,1981,10,5,7.62,10.7,16.13
47.00001,4.50001,1981,10,6,1.16,11.87,20.67
47.00001,4.50001,1981,10,7,0.11,7.59,15.74
47.00001,4.50001,1981,10,8,0,5.92,17.07
47.00001,4.50001,1981,10,9,5.01,8.38,17.24
47.00001,4.50001,1981,10,10,10.96,8.49,13.49
47.00001,4.50001,1981,10,11,5.09,5.78,14.85
47.00001,4.50001,1981,10,12,8.77,5.07,16.14
47.00001,4.50001,1981,10,13,0.66,4.46,9.78
47.00001,4.50001,1981,10,14,14.78,3.05,13.89
47.00001,4.50001,1981,10,15,10.05,10.85,14.97
47.00001,4.50001,1981,10,16,0.28,7.89,14.87
47.00001,4.50001,1981,10,17,0.19,10.06,19.94
47.00001,4.50001,1981,10,18,1.11,9.14,14.44
47.00001,4.50001,1981,10,19,0.52,6.56,13.71
47.00001,4.50001,1981,10,20,11.41,6.4,10.88
47.00001,4.50001,1981,10,21,2.46,2.17,8.54
47.00001,4.50001,1981,10,22,1.48,2.16,7.02
47.00001,4.50001,1981,10,23,2.38,2.38,7.68
47.00001,4.50001,1981,10,24,0.42,1.98,8.42
47.00001,4.50001,1981,10,25,11.59,2.18,7.91
47.00001,4.50001,1981,10,26,2.04,2.09,5.47
47.00001,4.50001,1981,10,27,0.91,0.65,7.32
47.00001,4.50001,1981,10,28,0.37,3.83,9.53
47.00001,4.50001,1981,10,29,6.27,5.25,11.46
47.00001,4.50001,1981,10,30,16.49,9.16,11.72
47.00001,4.50001,1981,10,31,1.91,10.01,14.44
47.00001,4.50001,1981,11,1,0.21,8.45,15.78
47.00001,4.50001,1981,11,2,0.06,6.49,16.46
47.00001,4.50001,1981,11,3,0.07,7.43,16.92
47.00001,4.50001,1981,11,4,0.09,6.65,14.5
47.00001,4.50001,1981,11,5,0.07,3.34,11.36
47.00001,4.50001,1981,11,6,0.03,0.15,8.18
47.00001,4.50001,1981,11,7,0.04,-1.19,5.95
47.00001,4.50001,1981,11,8,0,-3.95,4.37
47.00001,4.50001,1981,11,9,0,-4.13,3.67
47.00001,4.50001,1981,11,10,0,-4.05,3.29
47.00001,4.50001,1981,11,11,0.06,-3.97,3.39
47.00001,4.50001,1981,11,12,1.86,-0.86,4.74
47.00001,4.50001,1981,11,13,0.61,1.71,8.17
47.00001,4.50001,1981,11,14,0.35,-0.04,5.84
47.00001,4.50001,1981,11,15,0.08,-3.78,5.25
47.00001,4.50001,1981,11,16,0,-3.91,4.75
47.00001,4.50001,1981,11,17,1.72,-3.54,6.89
47.00001,4.50001,1981,11,18,0.99,3.22,11.19
47.00001,4.50001,1981,11,19,0.49,5.7,11.69
47.00001,4.50001,1981,11,20,0.08,5.65,12.79
47.00001,4.50001,1981,11,21,0.07,4.94,11.31
47.00001,4.50001,1981,11,22,1.49,4.22,11.24
47.00001,4.50001,1981,11,23,1.75,3.28,11.74
47.00001,4.50001,1981,11,24,3.28,1.19,9.94
47.00001,4.50001,1981,11,25,0.49,-2.49,2.98
